細分類,細分類名
340797,和楽器一般
340801,楽器用の弦
340803,楽器用の弓
340805,ばち（撥）
340807,自動演奏用のせん孔した楽器
340809,オルゴールのムーブメント
340811,メトロノーム
340813,調子笛・音さ
340897,楽器の部分品・附属品一般
340901,ディスク式記録物類
340903,テープ式記録物類
340905,映像用フィルム
340997,記録物一般
349797,その他一般楽器・音響ソフト
360101,中央処理装置
360103,パーソナルコンピュータ
360105,補助記憶装置
360107,入出力装置
360109,端末装置
360111,オフライン装置
360113,電子計算機用部品・附属品・入力部品
360197,デジタル型一般
360297,アナログ型一般
360397,ハイブリット型一般
360401,汎用プログラム
360403,カスタムプログラム
360497,システム・プログラム一般
360501,汎用プログラム
360503,カスタムプログラム
360597,アプリケーション・プログラム一般
360601,電話機
360603,電話応用電話機
360605,電信装置
360607,画像装置
360609,交換機
360611,伝送装置
360613,有線通信機器用部品・附属品
360697,有線通信装置一般
369797,その他一般情報機器
390101,マッチ
390103,マッチ箱
390105,つけ木
390107,ろうそく
390109,くん物
390111,線香
390197,マッチ類一般
390201,ボタン
390203,プレスファスナー、スナップファスナー
390205,縫針及び指ぬき
390297,裁縫用小物用具一般
390301,道路標識
390303,停留場標識
390305,広告用品
390307,電気標識
390309,アドバルーン
390311,空中投影機
390397,標識及び広告用品一般
390401,神だな（棚）・神具
390403,仏檀・仏具
390405,祭檀、祭具・結納品
390407,葬具
390497,宗教用具一般
399797,その他一般文化用品
420101,和たんす
420103,洋たんす
420105,整理たんす（チェスト）
420197,たんす一般
420201,飾り戸だな
420203,書籍戸だな
420205,サイドボード
420207,食器戸だな
420209,茶だな
420211,整理戸だな類
420213,陳列戸だな
420215,げた箱
420297,戸だな一般
420301,書だな
420303,飾りだな
420305,陳列だな
420307,整理だな
420397,たな一般
420401,衣料整理箱
420403,裁縫箱
420405,がん（玩）具箱
420407,レコードキャビネット
420409,事務用整理箱
420497,箱一般
420501,ラジオキャビネット
420503,テレビキャビネット
420505,ステレオキャビネット
420597,フォノキャビネット一般
420601,座机
420603,立机
420605,学校用机
420697,机一般
420701,座卓
420703,立卓
420797,テーブル（卓子）一般
420801,一面鏡台
420803,三面鏡台
420805,姫鏡台
420807,姿見（脚付き）
420809,壁掛け鏡
420811,ドレッサー
420897,鏡台一般
420901,調理台
420903,配ぜん（膳）台
420905,流し台
420907,ガス台
420909,作業台
420911,実験台
420913,陳列台
420915,売場台
420997,台一般
421001,（一人用ひじなし）ソファー
421003,スツール
421005,座いす
421007,小いす
421009,ひじ掛けいす
421011,長いす
421013,寝いす
421015,乳幼児用いす
421017,特殊用途のいす
421097,いす（椅子）・腰掛け一般
421101,普通ベッド
421103,ハリウッドベッド
421105,二段ベッド
421107,ベビーベッド
421109,スタディオベッド
421111,コンバーチブルベッド
421113,特殊用途のベッド
421115,ベッド用部品
421197,ベッド一般
421201,スプリングマットレス
421203,フォームマットレス
421205,ウォーターマットレス
421297,マットレス一般
421301,耐火金庫
421303,手さげ金庫
421397,金庫一般
421401,更衣用ロッカー
421403,物品用ロッカー
421497,ロッカー一般
421501,花器台
421503,植木台
421505,電話台
421507,置物台
421509,テレビ台
421511,囲碁・将棋盤用の台
421513,見台
421597,器物台一般
429797,その他一般家具
430101,カーお手入れ
430103,カー車内用品
430105,カー車外用品
430107,カー工具部品
430197,車用品一般
430301,ファミリー車
430303,スポーツ車
430305,子供車
430307,自転車パーツ
430397,自転車一般
430501,単車用品
430597,単車一般
439797,その他一般車両用品
439901,車用ワックス
439903,車用脱臭剤
439997,その他車用品
440101,腕時計
440103,旅行時計
440105,計器盤用時計
440107,置・目覚まし時計
440109,掛時計
440197,時計一般
440201,ウオッチケース
440203,クロックケース部品
440205,その他の時計の部分品
440297,時計関連用品一般
440501,メガネレンズ
440510,メガネ関連品
440597,メガネ一般
449797,その他一般時計・メガネ
450101,コンパクトカメラ
450103,35ｍｍ1眼レフカメラ
450105,中・大判カメラ
450107,インスタントカメラ
450109,ムービービデオカメラ
450111,スチイルビデオカメラ
450197,その他カメラ
450201,35ｍｍ交換レンズ
450203,中・大判交換レンズ
450297,その他交換レンズ
450301,双眼鏡
450303,望遠鏡
450305,顕微鏡
450397,その他光学機器
450401,フィルター
450403,ストロボ
450405,三脚
450407,バッグ
450409,アルバム
450411,電池
450413,スライド、ＯＨＰ
450415,補助レンズ
450417,照明用品
450419,撮影用品
450421,暗室用品
450497,その他写真用品
450501,ネガカラーフィルム
450503,レンズ付フィルム
450505,リバーサルカラーフィルム
450507,モノクロフィルム
450509,インスタントフィルム
450511,特殊フィルム
450597,その他フィルム
459797,その他光学・写真関連品
460105,カラーテレビ
460110,ＨＤＴＶ
460115,プロジェクションテレビ
460120,液晶テレビ
460197,テレビ関連機器，その他
460305,ビデオデッキ
460310,カメラ一体型ビデオ
460397,ビデオ関連機器，その他
460505,ビデオディスク
460597,ＶＤＰ関連機器，その他
460705,アンプ
460710,チューナー
460715,アナログプレーヤー
460720,スピーカー
460725,テープデッキ
460730,ＣＤプレーヤー
460735,デジタル機器
460797,コンポ，ステレオその他
460905,ミニコンポ
460997,ステレオその他
461105,マイク
461110,ヘッドホン
461115,オーディオラック
461120,イコライザー
461125,オーディオタイマー
461197,オーディオ，その他
461305,ラジオ
461310,ラジカセ
461315,ヘッドホンステレオ
461320,テープレコーダー
461397,テレコ，ラジオその他
461505,カーステレオ
461510,カーアンプ
461515,カースピーカー
461520,カーＣＤ
461597,カーコンポその他
461705,トランシーバー
461710,パーソナル無線
461715,拡声器
461797,トランシーバー，拡声器その他
461905,ビデオテープ
461910,オーディオテープ
461915,フロッピーディスク
461920,ＭＤ，ＤＣＣ
461925,ソフトフロッピー
461930,光ディスク
461935,コンピュータメディア群
461997,磁気テープ等その他
462105,ルームエアコン
462110,業務用エアコン
462197,エアコン，空調その他
462305,扇風機
462310,冷風扇
462397,扇風機その他
462505,石油ストーブ
462510,石油ファンヒーター
462515,石油温風暖房機
462520,ガスストーブ
462525,ガスファンヒーター
462597,全室暖房その他
462705,電子毛布
462710,家具調ヤグラ
462715,ヤグラコタツ
462720,電子カーペット
462725,電気ストーブ
462730,アンカ，カイロ
462735,足温器
462740,加湿器
462745,部分暖房付属
462797,部分暖房その他
462905,湯沸器
462910,ガステーブル
462915,ガス調理器
462920,換気扇
462925,レンジフード
462930,食器乾燥機
462935,食器洗機
462997,厨房機器その他
463105,電子レンジ
463110,据付型オーブン
463115,ガスレンジ
463120,電磁調理器
463197,レンジその他
463305,ジューサーミキサー
463310,餅つき機
463315,ハンドミキサー
463320,コーヒーミル
463325,電気氷かき
463330,シャープナー
463397,回転調理器その他
463505,電気炊飯器
463510,電子ジャー
463515,トースター
463520,電気オ−ブン
463525,コーヒーメーカー
463530,ホットプレート
463535,タイマースイッチ群
463597,電熱調理器その他
463705,浄水器・整水器
463797,調理関連その他
463905,冷蔵庫
463910,冷凍庫
463915,ウオータークーラー
463997,冷蔵機器その他
464105,洗濯機
464110,乾燥機
464115,フトン乾燥機
464120,スタンド
464125,掃除機
464197,家事用品その他
464305,ヘアードライヤー
464310,ホットカーラー
464315,電気カミソリ
464320,アイロン
464325,ズボンプレッサー
464397,理美容用品その他
464505,マッサージ椅子
464510,バイブレーター
464515,補聴器
464520,体温計
464530,血圧計
464535,低，高周波治療器
464540,電気ハブラシ
464545,口腔洗浄機
464550,トレーニング器具
464555,ゴルフ練習機
464560,ホームサウナ
464565,温水洗浄便器
464597,健康医療機器その他
464705,ペンダント
464710,シーリングライト
464715,ブラケット
464720,シャンデリア
464725,スタンド（フロアスタンドを含む）
464797,照明用品その他
464905,電卓
464910,電訳機
464915,電子手帳
464920,学用品
464997,事務機・学用品その他
465105,時計
465110,カメラ
465197,時計・カメラその他
465305,ピアノ（家電メーカー）
465310,電子ピアノ（家電メーカー）
465315,電子オルガン（家電メーカー）
465320,シンセサイザー（家電メーカー）
465397,楽器その他
465505,パソコン
465510,電話機
465515,ワ−プロ
465520,複写機
465525,ファクシミリ
465597,ＯＡ機器その他
465705,厨房設備
465710,ポンプ
465715,洗面用品
465720,温水器
465725,インタホン，チャイム群
465797,住設用品その他
465905,電動工具
465910,園芸器具
465915,ポータブル電源群
465997,大工・園芸品，レジャー用品その他
466105,電池
466110,電球
466115,螢光ランプ
466120,配線器具
466125,フラッシュライト
466130,電池クリーナー
466197,消耗家電その他
466305,剃刀の替刃
466310,掃除機紙パック
466315,石油ストーブ芯
466320,換気扇フィルター
466325,空気清浄器フィルター
466330,プリンターリボン
466335,ワープロ用紙
466340,感熱紙
466345,ラベル
466350,浄水機カートリッジ
466397,消耗部品その他
469797,その他家電
490101,絵画
490103,彫刻
490105,書跡及び典籍
490197,美術工芸品一般
490301,ミシン
490397,ミシン一般
490497,貴金属一般
499797,その他一般耐久消費財
510101,子供肌着
510103,紳士肌着
510105,婦人肌着
510107,ランジェリー、ファンデーション
510109,ナイトウェア
510111,子供靴下
510113,紳士靴下
510115,婦人靴下
510197,肌着・靴下一般
510201,ベビー用品
510203,幼児服
510205,幼児洋品
510207,男児服
510209,男児洋品
510211,女児服
510213,女児洋品
510215,スクール衣料
510297,子供衣料一般
510301,紳士服
510303,コート
510305,上衣
510307,セーター、ベスト
510309,スラックス
510311,ワイシャツ
510313,ワーキングウェア
510397,紳士衣料一般
510401,婦人服
510403,コート
510405,スカート
510407,セーター、ブラウス
510409,スラックス
510411,服地
510413,毛皮
510415,用品
510497,婦人衣料一般
510501,スキー
510503,テニス
510505,ゴルフ
510507,マリーン
510509,フィットネス
510511,登山・ヘビーデューティー
510597,スポーツウェア一般
510601,絵羽
510603,染着尺
510605,織着尺
510607,帯
510609,実用呉服
510611,小物、付属品
510613,喪装、裏地
510615,コート
510697,呉服一般
510701,紳士略礼
510703,紳士礼服
510705,紳士上衣、コート、スラックス
510707,紳士シャツ他
510709,婦人
510711,男児
510713,女児
510715,小物
510797,フォーマル一般
510801,紳士デニムレギュラージーンズ
510803,紳士カラーレギュラージーンズ
510805,紳士その他のボトムス
510807,紳士ジーンズトップス
510809,婦人デニムレギュラージーンズ
510811,婦人カラーレギュラージーンズ
510813,婦人その他のボトムス
510815,婦人ジーンズトップス
